,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,ride_id,position,sim_schedule
139,139,1449050806,1402734957,2021-11-01 10:51:32,,0 days 00:06:35,2021-11-01 10:58:07,,False,,3950,7.5,False,139,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.449051e+09  NaN   139.0     o
2  1.402735e+09  NaN   139.0     d"
140,140,44856086,44830128,2021-11-01 10:52:10,,0 days 00:04:59,2021-11-01 10:57:09,,False,,2993,7.5,False,140,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44856086.0  NaN   140.0     o
2  44830128.0  NaN   140.0     d"
141,141,3790294279,1563023404,2021-11-01 10:52:43,,0 days 00:06:03,2021-11-01 10:58:46,,False,,3630,7.5,False,141,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.790294e+09  NaN   141.0     o
2  1.563023e+09  NaN   141.0     d"
142,142,7003131562,839334890,2021-11-01 10:52:46,,0 days 00:03:35,2021-11-01 10:56:21,,False,,2151,7.5,False,142,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  7.003132e+09  NaN   142.0     o
2  8.393349e+08  NaN   142.0     d"
143,143,44816467,1667696847,2021-11-01 10:53:01,,0 days 00:05:14,2021-11-01 10:58:15,,False,,3142,7.5,False,143,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.481647e+07  NaN   143.0     o
2  1.667697e+09  NaN   143.0     d"
144,144,2560427063,2323108514,2021-11-01 10:55:26,,0 days 00:04:19,2021-11-01 10:59:45,,False,,2596,7.5,False,144,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.560427e+09  NaN   144.0     o
2  2.323109e+09  NaN   144.0     d"
145,145,44839614,4244308801,2021-11-01 10:55:29,,0 days 00:03:38,2021-11-01 10:59:07,,False,,2182,7.5,False,145,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.483961e+07  NaN   145.0     o
2  4.244309e+09  NaN   145.0     d"
146,146,1566353937,44770471,2021-11-01 10:56:09,,0 days 00:03:37,2021-11-01 10:59:46,,False,,2175,7.5,False,146,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.566354e+09  NaN   146.0     o
2  4.477047e+07  NaN   146.0     d"
147,147,1391531584,44859203,2021-11-01 10:56:24,,0 days 00:04:23,2021-11-01 11:00:47,,False,,2635,7.5,False,147,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.391532e+09  NaN   147.0     o
2  4.485920e+07  NaN   147.0     d"
148,148,1410536806,44837766,2021-11-01 10:56:24,,0 days 00:03:27,2021-11-01 10:59:51,,False,,2077,7.5,False,148,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.410537e+09  NaN   148.0     o
2  4.483777e+07  NaN   148.0     d"
149,149,30016728,44848878,2021-11-01 10:58:16,,0 days 00:07:04,2021-11-01 11:05:20,,False,,4241,7.5,False,149,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  30016728.0  NaN   149.0     o
2  44848878.0  NaN   149.0     d"
150,150,260125215,44705211,2021-11-01 10:58:27,,0 days 00:08:35,2021-11-01 11:07:02,,False,,5151,7.5,False,150,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  260125215.0  NaN   150.0     o
2   44705211.0  NaN   150.0     d"
151,151,8463975470,44816467,2021-11-01 10:58:51,,0 days 00:05:31,2021-11-01 11:04:22,,False,,3318,7.5,False,151,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  8.463975e+09  NaN   151.0     o
2  4.481647e+07  NaN   151.0     d"
152,152,1530303685,1469510009,2021-11-01 10:58:51,,0 days 00:07:04,2021-11-01 11:05:55,,False,,4244,7.5,False,152,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.530304e+09  NaN   152.0     o
2  1.469510e+09  NaN   152.0     d"
153,153,44900908,1552650019,2021-11-01 10:58:55,,0 days 00:06:01,2021-11-01 11:04:56,,False,,3619,7.5,False,153,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.490091e+07  NaN   153.0     o
2  1.552650e+09  NaN   153.0     d"
154,154,44817942,2804747839,2021-11-01 11:00:17,,0 days 00:04:35,2021-11-01 11:04:52,,False,,2753,7.5,False,154,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.481794e+07  NaN   154.0     o
2  2.804748e+09  NaN   154.0     d"
155,155,7003131561,4968645019,2021-11-01 11:00:34,,0 days 00:04:35,2021-11-01 11:05:09,,False,,2755,7.5,False,155,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  7.003132e+09  NaN   155.0     o
2  4.968645e+09  NaN   155.0     d"
