,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,platform,ride_id,position,sim_schedule
455,455,630748806,44755694,2023-06-24 15:06:56,,0 days 00:04:59,2023-06-24 15:11:55,,False,,2991,7.5,False,100,455,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  630748806.0  NaN   455.0     o
2   44755694.0  NaN   455.0     d"
456,456,1570983285,4124549371,2023-06-24 15:07:48,,0 days 00:05:04,2023-06-24 15:12:52,,False,,3043,7.5,False,100,456,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.570983e+09  NaN   456.0     o
2  4.124549e+09  NaN   456.0     d"
457,457,44823290,4474326710,2023-06-24 15:08:02,,0 days 00:04:37,2023-06-24 15:12:39,,False,,2775,7.5,False,100,457,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.482329e+07  NaN   457.0     o
2  4.474327e+09  NaN   457.0     d"
458,458,44731083,44836967,2023-06-24 15:08:30,,0 days 00:06:23,2023-06-24 15:14:53,,False,,3834,7.5,False,100,458,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44731083.0  NaN   458.0     o
2  44836967.0  NaN   458.0     d"
459,459,1015968754,44779743,2023-06-24 15:08:53,,0 days 00:03:30,2023-06-24 15:12:23,,False,,2101,7.5,False,100,459,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.015969e+09  NaN   459.0     o
2  4.477974e+07  NaN   459.0     d"
460,460,44706725,44796944,2023-06-24 15:09:31,,0 days 00:05:32,2023-06-24 15:15:03,,False,,3320,7.5,False,100,460,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44706725.0  NaN   460.0     o
2  44796944.0  NaN   460.0     d"
461,461,4349049055,1436427114,2023-06-24 15:09:34,,0 days 00:04:16,2023-06-24 15:13:50,,False,,2568,7.5,False,100,461,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.349049e+09  NaN   461.0     o
2  1.436427e+09  NaN   461.0     d"
462,462,1831506889,1580679747,2023-06-24 15:09:48,,0 days 00:06:25,2023-06-24 15:16:13,,False,,3854,7.5,False,100,462,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.831507e+09  NaN   462.0     o
2  1.580680e+09  NaN   462.0     d"
463,463,44861495,44736833,2023-06-24 15:10:09,,0 days 00:06:53,2023-06-24 15:17:02,,False,,4137,7.5,False,100,463,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44861495.0  NaN   463.0     o
2  44736833.0  NaN   463.0     d"
464,464,2381861256,44839193,2023-06-24 15:11:15,,0 days 00:06:01,2023-06-24 15:17:16,,False,,3612,7.5,False,100,464,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.381861e+09  NaN   464.0     o
2  4.483919e+07  NaN   464.0     d"
465,465,44878928,4228809539,2023-06-24 15:11:42,,0 days 00:04:59,2023-06-24 15:16:41,,False,,2992,7.5,False,100,465,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.487893e+07  NaN   465.0     o
2  4.228810e+09  NaN   465.0     d"
466,466,2106976223,44790565,2023-06-24 15:12:20,,0 days 00:04:31,2023-06-24 15:16:51,,False,,2712,7.5,False,100,466,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.106976e+09  NaN   466.0     o
2  4.479056e+07  NaN   466.0     d"
467,467,4246212797,3377240326,2023-06-24 15:13:06,,0 days 00:04:03,2023-06-24 15:17:09,,False,,2433,7.5,False,100,467,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.246213e+09  NaN   467.0     o
2  3.377240e+09  NaN   467.0     d"
468,468,5509265887,1571091924,2023-06-24 15:13:11,,0 days 00:05:31,2023-06-24 15:18:42,,False,,3318,7.5,False,100,468,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  5.509266e+09  NaN   468.0     o
2  1.571092e+09  NaN   468.0     d"
469,469,559635312,44738225,2023-06-24 15:13:25,,0 days 00:05:16,2023-06-24 15:18:41,,False,,3162,7.5,False,100,469,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  559635312.0  NaN   469.0     o
2   44738225.0  NaN   469.0     d"
470,470,44789407,1854067403,2023-06-24 15:13:41,,0 days 00:04:20,2023-06-24 15:18:01,,False,,2602,7.5,False,100,470,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.478941e+07  NaN   470.0     o
2  1.854067e+09  NaN   470.0     d"
471,471,44773017,44727438,2023-06-24 15:13:58,,0 days 00:05:58,2023-06-24 15:19:56,,False,,3583,7.5,False,100,471,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44773017.0  NaN   471.0     o
2  44727438.0  NaN   471.0     d"
472,472,4349049055,549920740,2023-06-24 15:14:30,,0 days 00:03:51,2023-06-24 15:18:21,,False,,2319,7.5,False,100,472,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.349049e+09  NaN   472.0     o
2  5.499207e+08  NaN   472.0     d"
473,473,630748806,44739609,2023-06-24 15:16:53,,0 days 00:06:19,2023-06-24 15:23:12,,False,,3790,7.5,False,100,473,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  630748806.0  NaN   473.0     o
2   44739609.0  NaN   473.0     d"
474,474,2381861250,44779743,2023-06-24 15:16:57,,0 days 00:04:51,2023-06-24 15:21:48,,False,,2916,7.5,False,100,474,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.381861e+09  NaN   474.0     o
2  4.477974e+07  NaN   474.0     d"
475,475,1530303740,1391417164,2023-06-24 15:20:25,,0 days 00:03:50,2023-06-24 15:24:15,,False,,2307,7.5,False,100,475,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.530304e+09  NaN   475.0     o
2  1.391417e+09  NaN   475.0     d"
476,476,1584550971,44815814,2023-06-24 15:22:10,,0 days 00:04:33,2023-06-24 15:26:43,,False,,2731,7.5,False,100,476,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.584551e+09  NaN   476.0     o
2  4.481581e+07  NaN   476.0     d"
477,477,44867166,44819450,2023-06-24 15:22:44,,0 days 00:03:42,2023-06-24 15:26:26,,False,,2222,7.5,False,100,477,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44867166.0  NaN   477.0     o
2  44819450.0  NaN   477.0     d"
478,478,479577554,1391417404,2023-06-24 15:22:50,,0 days 00:04:50,2023-06-24 15:27:40,,False,,2904,7.5,False,100,478,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.795776e+08  NaN   478.0     o
2  1.391417e+09  NaN   478.0     d"
